K,method_id,label,throughput_mbps,se_bps_per_hz
50,random,Random,79.4702293388497,3.9735114669424854
50,random,Random,64.86505865605297,3.2432529328026485
50,random,Random,87.4041567849593,4.370207839247965
50,random,Random,42.222412465233006,2.1111206232616504
50,random,Random,31.594766700174883,1.5797383350087442
50,random,Random,75.50620141350981,3.775310070675491
50,random,Random,76.64849461421626,3.8324247307108132
50,random,Random,24.70244649115951,1.2351223245579754
50,random,Random,45.40118757384663,2.2700593786923315
50,random,Random,72.54674537583074,3.627337268791537
50,random,Random,107.26272752625572,5.363136376312785
50,random,Random,71.32080203813166,3.566040101906583
50,random,Random,40.07760904841952,2.003880452420976
50,random,Random,76.300981183275,3.81504905916375
50,random,Random,76.7638363832572,3.83819181916286
50,random,Random,43.95671622581277,2.1978358112906387
50,random,Random,77.07227759623873,3.853613879811937
50,random,Random,73.18904171347546,3.6594520856737733
50,random,Random,79.61913048715336,3.9809565243576674
50,random,Random,22.312812483386637,1.1156406241693317
50,random,Random,82.4392684866609,4.121963424333045
50,random,Random,126.35590449561357,6.317795224780679
50,random,Random,96.63542706546185,4.831771353273093
50,random,Random,74.3984509178869,3.719922545894345
50,random,Random,63.0294644640039,3.151473223200195
50,random,Random,49.67657462182026,2.483828731091013
50,random,Random,106.17272809633637,5.308636404816818
50,random,Random,76.10158005622279,3.805079002811139
50,random,Random,101.50492051429615,5.075246025714807
50,random,Random,51.50335721023905,2.575167860511953
50,random,Random,59.76782003382627,2.9883910016913133
50,random,Random,55.49770703723214,2.774885351861607
50,random,Random,92.5217790370296,4.6260889518514805
50,random,Random,95.80234449579062,4.7901172247895305
50,random,Random,86.23070777864395,4.311535388932198
50,random,Random,66.13041695695499,3.3065208478477492
50,random,Random,98.06418116242381,4.90320905812119
50,random,Random,96.15757456906213,4.807878728453106
50,random,Random,28.69542960350362,1.434771480175181
50,random,Random,74.3534278133149,3.717671390665745
50,random,Random,115.77799831250925,5.788899915625462
50,random,Random,73.38860791203251,3.669430395601626
50,random,Random,84.16968443224778,4.208484221612388
50,random,Random,93.74242189038483,4.687121094519242
50,random,Random,89.76093680329654,4.488046840164827
50,random,Random,84.8648857070499,4.243244285352494
50,random,Random,103.48736425507145,5.174368212753573
50,random,Random,63.11400988082697,3.1557004940413487
50,random,Random,64.23958685614781,3.2119793428073904
50,random,Random,78.33951714833351,3.916975857416676
50,random,Random,70.57796913374519,3.528898456687259
50,random,Random,72.25984908732899,3.612992454366449
50,random,Random,84.64228733629565,4.232114366814782
50,random,Random,27.529260889388986,1.3764630444694492
50,random,Random,47.15549164492031,2.3577745822460154
50,random,Random,71.47326445311744,3.5736632226558713
50,random,Random,83.61479760644528,4.180739880322264
50,random,Random,69.3804902670865,3.4690245133543254
50,random,Random,72.84599876331383,3.6422999381656913
50,random,Random,81.19559042915316,4.059779521457658
50,random,Random,70.451762104569,3.5225881052284502
50,random,Random,101.18514710111182,5.059257355055592
50,random,Random,80.82658311230033,4.041329155615016
50,random,Random,74.83629200056583,3.7418146000282912
50,random,Random,71.60834820102939,3.5804174100514694
50,random,Random,52.777977236325654,2.6388988618162825
50,random,Random,90.46495189384191,4.523247594692095
50,random,Random,80.26318871641644,4.013159435820822
50,random,Random,62.72039972444624,3.136019986222312
50,random,Random,69.51891728276296,3.475945864138148
50,random,Random,78.94253286494994,3.947126643247497
