K,scheme,p5_se,mean_se
30,GC (Liu),0.7193820638249393,4.996554418826049
30,Gao matching,0.7131045033195915,4.9956348168949685
30,H2 Gao+greedy,0.7234569445746798,4.996390618041711
30,Hybrid#3 (TopAP N=8 adaptive),0.7740552741340506,5.385993963231728
30,Hybrid#4 (TopAP+greedy),0.7213325330478189,4.996754649183263
30,Mussbah,0.7543769376182021,5.175365352691863
30,Random,0.7178800832810616,5.01221735211967
30,Structured (Chen),0.7198356016805942,4.997892297430472
30,TopAP (bisect),0.7238082220962027,4.99663384950578
