scheme,p5_se,median_se,mean_se,mean_tau_p_actual,min_tau_p_actual,max_tau_p_actual,mean_vs_random_pct,p5_vs_random_pct
Random,1.1486850538624338,5.036066425033111,5.290948690423953,14.94,14,15,0.0,0.0
Gao matching,1.1534545924439064,5.0343146471530655,5.290183646385208,15.0,15,15,-0.014459487012777177,0.41521725780578955
GC (Liu),1.1693383530620596,5.033929858647488,5.2922295094905385,14.98,14,15,0.0242077393209985,1.7979949447569994
Structured (Chen),1.161625161386105,5.0345501442522655,5.2917303621542455,14.99,14,15,0.014773753744907508,1.126514833649168
Mussbah,1.058849150006605,4.6102768546910085,4.844642602336525,26.515,22,31,-8.435275301293204,-7.820760229599667
TopAP (bisect),1.1594345744105612,5.043954770147459,5.295270479988003,14.905,13,15,0.08168269656199255,0.9358109528788863
H2 Gao+greedy,1.1619186607318452,5.032859890240497,5.29143659644185,15.0,15,15,0.009221522385576908,1.1520657315870582
Hybrid#3 (TopAP N=8 adaptive),1.2344963918610712,5.302958678885037,5.572055666952567,7.895,6,11,5.3129786920328135,7.470397365239344
Hybrid#4 (TopAP+greedy),1.1613428907718695,5.032471372787427,5.291503702773021,15.0,15,15,0.0104898456126094,1.101941464884035
