scheme,p5_se,median_se,mean_se
Random,0.707727686233124,4.981595689671193,5.2799661565354095
Gao matching,0.7205291779091081,4.974151553941036,5.279416962440229
GC (Liu),0.7161789000749098,4.974566802084316,5.280360047549677
Structured (Chen),0.7178226838887602,4.973332582290912,5.280509933874974
Mussbah,0.718910876361105,4.891186856136144,5.166777137726023
TopAP (bisect),0.7180847007661348,4.975123057382403,5.280299071940919
H2 Gao+greedy,0.720637292229417,4.980038090947547,5.280549903536481
