K,scheme,p5_se,mean_se
30,GC (Liu),0.6705739718248617,4.706846969560653
30,Gao matching,0.6715785616616576,4.703651812831026
30,H2 Gao+greedy,0.6711639179308937,4.704343085979735
30,Hybrid#3 (TopAP N=8 adaptive),0.7740552741340506,5.385993963231728
30,Hybrid#4 (TopAP+greedy),0.6739044529822669,4.704283613402924
30,Mussbah,0.7543769376182021,5.175365352691863
30,Random,0.6889907326261555,4.717741803709504
30,Structured (Chen),0.6709158536184961,4.704235443494996
30,TopAP (bisect),0.6714837414821665,4.746942581496835
