scheme,p5_se,median_se,mean_se
Random,0.6396083664938653,4.450150470382109,4.707784257036931
Gao matching,0.6351532027815765,4.411591847344578,4.6927425442422175
GC (Liu),0.6396802108373071,4.413134096074208,4.6962240881505
Structured (Chen),0.6383242642993417,4.411585819208519,4.6929204606131325
Mussbah,0.718910876361105,4.891186856136144,5.166777137726023
TopAP (bisect),0.6492596896765414,4.45793221364552,4.735614123303188
H2 Gao+greedy,0.6381460283638231,4.413083002464368,4.692866191393318
Hybrid#3 (TopAP N=8 adaptive),0.725085731003564,5.052898877933807,5.369528964329674
Hybrid#4 (TopAP+greedy),0.6407322034334706,4.412829802028143,4.692930889367067
