scheme,p5_se,p5_se_ci_low,p5_se_ci_high,median_se,median_se_ci_low,median_se_ci_high,mean_se,mean_se_ci_low,mean_se_ci_high,n_samples
GC (Liu),1.1693383530620598,1.1006234443015266,1.2069656831340754,5.033929858647488,4.968598146666175,5.096085332140731,5.292229509490539,5.238672549867999,5.345723734983607,10000
Gao matching,1.1534545924439064,1.10139623758019,1.2044604948285682,5.0343146471530655,4.958311397644348,5.092802654819541,5.290183646385208,5.23487490194711,5.341084164966558,10000
H2 Gao+greedy,1.1619186607318452,1.10339146117442,1.2079918189106247,5.032859890240497,4.966482960108134,5.098656224638614,5.29143659644185,5.234462827466382,5.348713623305296,10000
Hybrid#3 (TopAP N=8 adaptive),1.2344963918610712,1.1818766709041368,1.2891688376273713,5.302958678885037,5.21629850777679,5.37653038065963,5.572055666952567,5.514793790365841,5.627079674032261,10000
Hybrid#4 (TopAP+greedy),1.1613428907718697,1.1004927415282137,1.207814860373604,5.032471372787427,4.965743704303567,5.097246713207089,5.291503702773021,5.23701440635217,5.343275350806506,10000
Mussbah,1.058849150006605,1.0146645461902424,1.1122859854132943,4.6102768546910085,4.54598334756091,4.669394548569385,4.844642602336525,4.79429151671045,4.8982920896596935,10000
Random,1.1486850538624338,1.0991194235664226,1.2024978894224092,5.036066425033111,4.960389415074572,5.105755943961941,5.290948690423953,5.236910920774357,5.346528467359726,10000
Structured (Chen),1.161625161386105,1.1004763906679107,1.207701182018304,5.0345501442522655,4.972534358844446,5.091267015898392,5.2917303621542455,5.239586049061174,5.344466010592806,10000
TopAP (bisect),1.1594345744105612,1.1001858788370156,1.2102957844681583,5.043954770147459,4.973471303364412,5.099858515177648,5.295270479988003,5.236782068367424,5.351651677590986,10000
