scheme,p5_se,median_se,mean_se
Random,0.7713098552085067,4.927876337653913,5.293289071721288
Gao matching,0.7618218245771516,4.92960771411151,5.295272700192878
GC (Liu),0.7638542098961959,4.935855496669991,5.296393276558685
Structured (Chen),0.7677891595631618,4.935032028254385,5.296251036511556
Mussbah,0.7543769376182021,4.8115693770778565,5.175365352691863
TopAP (bisect),0.7610079754954147,4.936560476182446,5.296064271847979
H2 Gao+greedy,0.7631336497727181,4.937705555407183,5.29656064726869
Hybrid#3 (TopAP N=8 adaptive),0.7740552741340506,5.013535278096015,5.385993963231728
Hybrid#4 (TopAP+greedy),0.7594157566361566,4.937172539968678,5.2965435235189355
