K,scheme,p5_se,mean_se
30,GC (Liu),0.5870502837301583,4.114250656251462
30,Gao matching,0.5885834471459763,4.114187099753859
30,H2 Gao+greedy,0.5889364490929987,4.1142310949288605
30,Hybrid#3 (TopAP N=8 adaptive),0.7740552741340506,5.385993963231728
30,Hybrid#4 (TopAP+greedy),0.5892064111063768,4.11430802866404
30,Mussbah,0.7543769376182021,5.175365352691863
30,Random,0.598038610360892,4.152126488700325
30,Structured (Chen),0.5886423066595182,4.114263205403022
30,TopAP (bisect),0.5886423066595182,4.114263205403022
