scheme,p5_se,p5_se_ci_low,p5_se_ci_high,median_se,median_se_ci_low,median_se_ci_high,mean_se,mean_se_ci_low,mean_se_ci_high,n_samples
GC (Liu),1.2375226435144344,1.0721672894278103,1.3383305278592992,5.132555332724029,4.991242808682617,5.277811879796674,5.3586694152595635,5.252024730824575,5.4650020026195145,2500
Gao matching,1.238322561461567,1.0898096409469937,1.332980682497829,5.1291181127494045,4.996274398018402,5.278537683911416,5.358281365923103,5.250049753661727,5.472123474928288,2500
H2 Gao+greedy,1.2367946970507449,1.080803301999945,1.3381417881158362,5.131429123104002,4.994982913123444,5.27294395631735,5.358773020945587,5.249619118061431,5.466749454558877,2500
Hybrid#3 (TopAP N=8 adaptive),1.3138980799161506,1.1773024910676906,1.4565190110588504,5.391646013622649,5.214541902753979,5.559395464612903,5.641511725219921,5.522325874021158,5.7536377570389385,2500
Hybrid#4 (TopAP+greedy),1.2367566371717018,1.0777310753164642,1.3419691984157838,5.133825203763965,4.998246589230849,5.276299616520711,5.358947837756863,5.245939353238737,5.461177129110433,2500
Mussbah,1.1135335631130223,1.0180813486286062,1.2051114744981237,4.702638520692128,4.558442265949351,4.826325307275109,4.922821658500331,4.824102178627433,5.020419983866003,2500
Random,1.2098713661572453,1.1043860764228488,1.3247735300377754,5.122044571996587,5.014404755340969,5.268744104443495,5.357711279366322,5.251279154610231,5.462508156718474,2500
Structured (Chen),1.2367602772588806,1.0736395232611813,1.3437426840085382,5.135396985550883,4.998723818716016,5.277518674782566,5.359804398613163,5.2574822122823335,5.464924298532054,2500
TopAP (bisect),1.236540209930306,1.073908947643708,1.3472516205906229,5.1332064521830905,4.998134737372356,5.268147528105699,5.359073462960938,5.258366810500685,5.465071830744744,2500
