scheme,p5_se,median_se,mean_se
Random,0.7133616634843971,5.023418621890978,5.306844493827843
Gao matching,0.7308369946551121,5.020043856624913,5.306242134356815
GC (Liu),0.7306421575366867,5.0202220304795855,5.306977779213497
Structured (Chen),0.7281144818946244,5.019871329184282,5.307231638864447
Mussbah,0.7297035811861718,5.119571984128841,5.412240450181049
TopAP (bisect),0.7310319945455362,5.020334188084638,5.306915229085514
H2 Gao+greedy,0.7282487549521757,5.020474241730879,5.307168838321134
Hybrid#3 (TopAP N=8 adaptive),0.7370750783956219,5.096643751395247,5.396470786472496
Hybrid#4 (TopAP+greedy),0.7305696757959177,5.019877468175691,5.307250438781661
