scheme,p5_se,median_se,mean_se
Random,1.1535501854005619,3.718970872363626,3.9462358450463464
Gao matching,1.1574322989226644,3.7334818124248317,3.9540245764417246
GC (Liu),1.1606458907752377,3.728942440787994,3.9514424793365577
Structured (Chen),1.1606274554945537,3.737239565797851,3.9558236132347258
Mussbah,0.5370303072320377,1.7041338139207036,1.8034639180518286
TopAP (bisect),1.1633155298748499,3.7346788296886806,3.9564271877953696
H2 Gao+greedy,1.1626334895626778,3.733198473171351,3.9565972179698
Hybrid#3 (TopAP N=8 adaptive),1.1605761848652467,3.715568344083608,3.9232948652742787
Hybrid#4 (TopAP+greedy),1.1653654572536076,3.7366450958717294,3.957977117379426
