K,method_id,label,throughput_mbps,se_bps_per_hz
45,random,Random,81.17330361014152,4.0586651805070755
45,random,Random,31.83662342521737,1.5918311712608684
45,random,Random,105.8518370576507,5.292591852882535
45,random,Random,24.522411662094072,1.2261205831047035
45,random,Random,96.91966153718683,4.8459830768593415
45,random,Random,88.57882923053945,4.428941461526973
45,random,Random,68.08068622319799,3.404034311159899
45,random,Random,49.49371485230912,2.474685742615456
45,random,Random,30.52158827448087,1.5260794137240434
45,random,Random,86.13759185574455,4.306879592787227
45,random,Random,107.54414880245518,5.377207440122759
45,random,Random,7.193197223440513,0.35965986117202564
45,random,Random,43.420374547814596,2.1710187273907295
45,random,Random,49.17903282855304,2.458951641427652
45,random,Random,82.99743708129019,4.149871854064509
45,random,Random,110.90632752236417,5.545316376118208
45,random,Random,58.05561984342589,2.9027809921712944
45,random,Random,61.75032882536801,3.0875164412684004
45,random,Random,31.032988556753395,1.5516494278376696
45,random,Random,57.5853759942654,2.87926879971327
45,random,Random,34.368604413316866,1.7184302206658435
45,random,Random,17.673998136204457,0.8836999068102227
45,random,Random,53.77892025076078,2.688946012538039
45,random,Random,47.98110001470562,2.399055000735281
45,random,Random,25.726883230269898,1.286344161513495
45,random,Random,102.98553047181402,5.149276523590701
45,random,Random,69.38666323609215,3.4693331618046077
45,random,Random,86.36005500218897,4.318002750109448
45,random,Random,62.25431608101934,3.1127158040509673
45,random,Random,113.68997067332728,5.684498533666364
45,random,Random,52.43090062950177,2.6215450314750885
45,random,Random,57.59301365905991,2.8796506829529958
45,random,Random,86.13715743658544,4.306857871829272
45,random,Random,56.93356346858561,2.8466781734292805
45,random,Random,99.42565006532956,4.971282503266479
45,random,Random,24.30666008017378,1.2153330040086892
45,random,Random,27.93735174845697,1.3968675874228484
45,random,Random,36.437972109646964,1.821898605482348
45,random,Random,35.50771806308747,1.7753859031543733
45,random,Random,26.7205276138086,1.33602638069043
45,random,Random,7.685978572542622,0.3842989286271311
45,random,Random,87.64683586582892,4.382341793291446
45,random,Random,11.281633388948151,0.5640816694474076
45,random,Random,81.22917981398477,4.061458990699238
45,random,Random,68.7407752532709,3.4370387626635446
45,random,Random,65.07237794738302,3.253618897369151
45,random,Random,82.32373093135253,4.116186546567627
45,random,Random,70.12955123060941,3.50647756153047
45,random,Random,112.54386501831544,5.627193250915773
45,random,Random,33.19780942173457,1.6598904710867284
45,random,Random,65.79672967610585,3.289836483805293
45,random,Random,7.138410596119053,0.3569205298059526
45,random,Random,45.03770642102569,2.2518853210512844
45,random,Random,90.35254036922586,4.517627018461293
45,random,Random,102.37392230840484,5.118696115420242
45,random,Random,20.764111060683227,1.0382055530341614
45,random,Random,85.8121612972999,4.290608064864995
45,random,Random,32.297453268197756,1.6148726634098878
45,random,Random,100.19540207374727,5.009770103687364
45,random,Random,71.8350183000276,3.5917509150013798
45,random,Random,82.8038697740093,4.140193488700465
45,random,Random,54.48785527125335,2.7243927635626677
45,random,Random,101.42010357121363,5.071005178560681
45,random,Random,32.82702255031113,1.6413511275155566
45,random,Random,103.61462386381838,5.180731193190919
45,random,Random,43.83454653765467,2.1917273268827335
45,random,Random,2.8124639018433637,0.1406231950921682
45,random,Random,107.47464636838598,5.373732318419298
45,random,Random,95.61512167867002,4.780756083933501
45,random,Random,46.00951210804893,2.3004756054024464
45,random,Random,75.86984337914554,3.7934921689572767
45,random,Random,23.026957477127798,1.1513478738563898
45,random,Random,39.14175309033562,1.957087654516781
45,random,Random,70.43976729821698,3.521988364910849
45,random,Random,69.92471472130399,3.4962357360651994
45,random,Random,8.888400080744002,0.4444200040372001
45,random,Random,63.81569959884065,3.1907849799420327
45,random,Random,36.14681171262679,1.8073405856313396
45,random,Random,14.759004919489279,0.737950245974464
45,random,Random,28.751423474877,1.43757117374385
45,random,Random,82.25398519986834,4.112699259993417
45,random,Random,30.41308298656272,1.520654149328136
45,random,Random,50.67834296950255,2.5339171484751275
45,random,Random,65.38133090885827,3.269066545442914
45,random,Random,48.74492806713636,2.4372464033568177
45,random,Random,47.51046174252288,2.375523087126144
45,random,Random,115.54670036146129,5.777335018073065
45,random,Random,63.76717569921024,3.188358784960512
45,random,Random,111.07891712042613,5.553945856021307
45,random,Random,89.15505592374113,4.457752796187057
45,random,Random,48.01651817888011,2.4008259089440056
45,random,Random,43.42614543730128,2.171307271865064
45,random,Random,49.29321221792068,2.464660610896034
45,random,Random,82.59065433038023,4.129532716519011
45,random,Random,24.150252928750383,1.2075126464375192
45,random,Random,44.900616163409985,2.2450308081704993
45,random,Random,50.23435489752176,2.5117177448760883
45,random,Random,80.15014311228207,4.007507155614103
45,random,Random,93.02570162054553,4.651285081027277
45,random,Random,17.63455607406737,0.8817278037033685
45,random,Random,75.90242944604022,3.795121472302011
45,random,Random,71.13467676956411,3.5567338384782055
45,random,Random,39.501629451682106,1.9750814725841053
45,random,Random,20.708516107471567,1.0354258053735783
45,random,Random,80.61835562400262,4.030917781200131
45,random,Random,43.406938446339005,2.1703469223169503
45,random,Random,106.78860087812643,5.339430043906321
45,random,Random,118.17849756144014,5.908924878072007
45,random,Random,29.293224684868274,1.4646612342434138
45,random,Random,101.94563052621011,5.097281526310506
45,random,Random,48.67248487077762,2.433624243538881
45,random,Random,104.45274779092722,5.222637389546361
45,random,Random,20.741975575022764,1.0370987787511383
45,random,Random,85.70836416486226,4.285418208243113
45,random,Random,33.24228916017481,1.6621144580087406
45,random,Random,62.15869607487218,3.107934803743609
45,random,Random,73.61256792651105,3.6806283963255524
45,random,Random,15.876830695852497,0.7938415347926249
45,random,Random,52.90943989531915,2.6454719947659577
45,random,Random,94.92307487849277,4.746153743924639
45,random,Random,75.32425254797211,3.766212627398606
45,random,Random,67.33776493327034,3.3668882466635166
45,random,Random,28.305666706792504,1.4152833353396252
45,random,Random,40.77502137309167,2.0387510686545833
45,random,Random,110.04373588341558,5.502186794170779
45,random,Random,20.225249937128325,1.0112624968564161
45,random,Random,1.7215244799187754,0.08607622399593877
45,random,Random,24.104260246240088,1.2052130123120044
45,random,Random,72.37655926429721,3.6188279632148608
45,random,Random,4.222067925054587,0.21110339625272934
45,random,Random,72.74343410489114,3.637171705244557
45,random,Random,40.466440716773086,2.023322035838654
45,random,Random,67.91754096484543,3.3958770482422715
45,random,Random,81.0319594581238,4.0515979729061895
45,random,Random,105.12183997706562,5.2560919988532815
45,random,Random,120.14415233817203,6.007207616908602
45,random,Random,73.34146206351723,3.6670731031758614
45,random,Random,68.66966661764454,3.433483330882227
45,random,Random,9.631437135476334,0.4815718567738167
45,random,Random,54.05796520061589,2.7028982600307945
